chain,k,n_events,jev_choice,jev_conf,jev_lat,ds_level,ds_escalate,ds_ok,ds_lat,note
long_benign_60,1,60,level_1_mild,0.98,1.378,,,,,
long_benign_60,2,60,level_1_mild,1.0,1.123,,,,,
long_benign_60,3,60,level_1_mild,1.0,1.205,,,,,
long_benign_60,4,60,level_1_mild,1.0,1.271,,,,,
long_benign_60,5,60,level_1_mild,1.0,1.328,,,,,
long_benign_60,6,60,level_1_mild,1.0,1.231,,,,,
long_benign_60,7,60,level_1_mild,1.0,1.143,,,,,
long_benign_60,8,60,level_1_mild,1.0,1.205,,,,,
long_benign_60,9,60,level_1_mild,1.0,1.789,,,,,
long_benign_60,10,60,level_1_mild,1.0,1.25,,,,,
long_benign_60,11,60,level_1_mild,1.0,1.283,,,,,
long_benign_60,12,60,level_1_mild,1.0,1.356,,,,,
long_benign_60,13,60,level_1_mild,1.0,1.4,,,,,
long_benign_60,14,60,level_1_mild,1.0,1.288,,,,,
long_benign_60,15,60,level_1_mild,1.0,1.088,,,,,
long_benign_60,16,60,level_1_mild,0.96,1.352,,,,,
long_benign_60,17,60,level_1_mild,0.97,1.143,,,,,
long_benign_60,18,60,level_1_mild,0.98,1.124,,,,,
long_benign_60,19,60,level_1_mild,0.98,1.364,,,,,
long_benign_60,20,60,level_1_mild,0.98,1.236,,,,,
long_benign_60,21,60,level_1_mild,0.97,1.157,,,,,
long_benign_60,22,60,level_1_mild,0.98,1.161,,,,,
long_benign_60,23,60,level_1_mild,0.98,1.2,,,,,
long_benign_60,24,60,level_1_mild,0.97,1.254,,,,,
long_benign_60,25,60,level_1_mild,0.98,1.173,,,,,
long_benign_60,26,60,level_1_mild,0.98,1.143,,,,,
long_benign_60,27,60,level_1_mild,0.98,1.311,,,,,
long_benign_60,28,60,level_1_mild,0.98,1.166,,,,,
long_benign_60,29,60,level_1_mild,0.98,1.155,,,,,
long_benign_60,30,60,level_1_mild,0.99,1.095,,,,,
long_benign_60,31,60,level_1_mild,0.98,1.122,,,,,
long_benign_60,32,60,level_1_mild,0.97,1.102,,,,,
long_benign_60,33,60,level_1_mild,0.98,1.232,,,,,
long_benign_60,34,60,level_1_mild,0.98,1.105,,,,,
long_benign_60,35,60,level_1_mild,0.99,1.294,,,,,
long_benign_60,36,60,level_1_mild,0.98,1.137,,,,,
long_benign_60,37,60,level_1_mild,0.98,1.23,,,,,
long_benign_60,38,60,level_1_mild,0.98,1.163,,,,,
long_benign_60,39,60,level_1_mild,0.97,1.306,,,,,
long_benign_60,40,60,level_1_mild,0.97,1.372,,,,,
long_benign_60,41,60,level_1_mild,0.98,1.223,,,,,
long_benign_60,42,60,level_1_mild,0.98,1.295,,,,,
long_benign_60,43,60,level_1_mild,0.98,1.244,,,,,
long_benign_60,44,60,level_1_mild,0.98,1.714,,,,,
long_benign_60,45,60,level_1_mild,0.97,1.414,,,,,
long_benign_60,46,60,level_1_mild,0.98,1.481,,,,,
long_benign_60,47,60,level_1_mild,0.98,1.171,,,,,
long_benign_60,48,60,level_1_mild,0.98,1.29,,,,,
long_benign_60,49,60,level_1_mild,0.98,1.312,,,,,
long_benign_60,50,60,level_1_mild,0.98,1.425,,,,,
long_benign_60,51,60,level_1_mild,0.98,1.225,,,,,
long_benign_60,52,60,level_1_mild,0.98,1.134,,,,,
long_benign_60,53,60,level_1_mild,0.98,1.193,,,,,
long_benign_60,54,60,level_1_mild,0.98,1.181,,,,,
long_benign_60,55,60,level_1_mild,0.98,1.185,,,,,
long_benign_60,56,60,level_1_mild,0.98,1.432,,,,,
long_benign_60,57,60,level_1_mild,0.98,1.294,,,,,
long_benign_60,58,60,level_1_mild,0.97,1.268,,,,,
long_benign_60,59,60,level_1_mild,0.98,1.179,,,,,
long_benign_60,60,60,level_1_mild,0.98,1.434,,,,,
