chain,mode,k,n_events,latency_s,tok_per_s,choice,confidence,p_level_1_mild,p_level_2_moderate,p_level_3_severe,p_level_4_critical,p_level_5_catastrophic
attack,lead,1,12,1.329,61.7,level_1_mild,0.98,0.98,0.02,0.0,0.0,0.0
attack,lead,2,12,1.466,55.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
attack,lead,3,12,1.587,51.7,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
attack,lead,4,12,1.61,50.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
attack,lead,5,12,1.692,48.5,level_1_mild,0.29,0.43,0.23,0.34,0.0,0.0
attack,lead,6,12,1.74,47.1,level_3_severe,0.89,0.03,0.06,0.91,0.0,0.0
attack,lead,7,12,1.519,54.0,level_3_severe,0.97,0.0,0.01,0.98,0.01,0.0
attack,lead,8,12,1.615,50.8,level_3_severe,0.97,0.0,0.01,0.98,0.01,0.0
attack,lead,9,12,1.55,52.9,level_3_severe,0.45,0.0,0.0,0.57,0.43,0.0
attack,lead,10,12,1.509,55.0,level_4_critical,0.75,0.0,0.0,0.19,0.81,0.0
attack,lead,11,12,1.784,46.5,level_4_critical,0.96,0.0,0.0,0.03,0.97,0.0
attack,lead,12,12,1.564,53.1,level_4_critical,0.94,0.0,0.0,0.04,0.96,0.0
attack,tail,1,12,1.797,45.6,level_3_severe,0.82,0.0,0.0,0.86,0.14,0.0
attack,tail,2,12,1.719,47.7,level_3_severe,0.38,0.0,0.0,0.5,0.49,0.01
attack,tail,3,12,1.861,44.6,level_4_critical,0.82,0.0,0.0,0.14,0.85,0.01
attack,tail,4,12,1.624,51.1,level_4_critical,0.81,0.0,0.0,0.14,0.85,0.01
attack,tail,5,12,1.799,46.1,level_4_critical,0.91,0.0,0.0,0.06,0.93,0.01
attack,tail,6,12,1.562,53.1,level_4_critical,0.93,0.0,0.0,0.05,0.94,0.01
attack,tail,7,12,1.56,53.2,level_4_critical,0.93,0.0,0.0,0.05,0.94,0.01
attack,tail,8,12,1.575,52.7,level_4_critical,0.94,0.0,0.0,0.04,0.95,0.01
attack,tail,9,12,1.731,48.0,level_4_critical,0.93,0.0,0.0,0.04,0.95,0.01
attack,tail,10,12,1.549,53.6,level_4_critical,0.94,0.0,0.0,0.04,0.95,0.01
attack,tail,11,12,1.547,53.6,level_4_critical,0.94,0.0,0.0,0.04,0.95,0.01
attack,tail,12,12,1.76,47.2,level_4_critical,0.94,0.0,0.0,0.04,0.96,0.0
benign,lead,1,12,1.541,53.2,level_1_mild,0.98,0.98,0.02,0.0,0.0,0.0
benign,lead,2,12,1.492,54.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,3,12,1.663,49.3,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,4,12,1.561,52.5,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,5,12,1.679,48.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,6,12,1.576,52.0,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,7,12,1.642,49.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,8,12,1.899,43.2,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,9,12,1.586,51.7,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,10,12,1.658,49.5,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,11,12,1.643,49.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
benign,lead,12,12,1.563,52.5,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
ambiguous,lead,1,10,1.694,48.4,level_1_mild,0.98,0.98,0.02,0.0,0.0,0.0
ambiguous,lead,2,10,1.653,49.6,level_1_mild,0.55,0.64,0.18,0.18,0.0,0.0
ambiguous,lead,3,10,1.804,45.5,level_1_mild,0.65,0.72,0.16,0.12,0.0,0.0
ambiguous,lead,4,10,1.677,48.9,level_1_mild,0.68,0.75,0.15,0.1,0.0,0.0
ambiguous,lead,5,10,2.127,38.6,level_1_mild,0.71,0.77,0.18,0.05,0.0,0.0
ambiguous,lead,6,10,1.792,45.8,level_1_mild,0.68,0.75,0.11,0.13,0.01,0.0
ambiguous,lead,7,10,1.635,50.2,level_1_mild,0.72,0.77,0.12,0.1,0.01,0.0
ambiguous,lead,8,10,1.612,50.9,level_1_mild,0.46,0.58,0.22,0.16,0.04,0.0
ambiguous,lead,9,10,1.661,49.4,level_1_mild,0.52,0.61,0.2,0.16,0.03,0.0
ambiguous,lead,10,10,1.482,55.3,level_1_mild,0.44,0.56,0.24,0.17,0.03,0.0
ambiguous,tail,1,10,2.055,39.9,level_1_mild,0.95,0.96,0.03,0.01,0.0,0.0
ambiguous,tail,2,10,1.549,52.9,level_1_mild,0.85,0.87,0.1,0.02,0.01,0.0
ambiguous,tail,3,10,1.777,46.1,level_1_mild,0.81,0.85,0.12,0.01,0.02,0.0
ambiguous,tail,4,10,1.525,53.8,level_1_mild,0.75,0.8,0.12,0.05,0.03,0.0
ambiguous,tail,5,10,1.928,42.5,level_1_mild,0.56,0.65,0.17,0.15,0.03,0.0
ambiguous,tail,6,10,1.513,54.2,level_1_mild,0.63,0.71,0.16,0.11,0.02,0.0
ambiguous,tail,7,10,1.572,52.2,level_1_mild,0.55,0.64,0.18,0.14,0.04,0.0
ambiguous,tail,8,10,2.739,29.9,level_1_mild,0.45,0.56,0.22,0.18,0.04,0.0
ambiguous,tail,9,10,1.917,42.8,level_1_mild,0.44,0.55,0.26,0.15,0.04,0.0
ambiguous,tail,10,10,1.883,43.5,level_1_mild,0.46,0.57,0.22,0.18,0.03,0.0
subtle_exfil,lead,1,11,1.704,48.1,level_1_mild,0.98,0.98,0.02,0.0,0.0,0.0
subtle_exfil,lead,2,11,1.677,48.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
subtle_exfil,lead,3,11,1.79,45.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
subtle_exfil,lead,4,11,1.632,50.2,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
subtle_exfil,lead,5,11,1.645,49.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
subtle_exfil,lead,6,11,1.716,47.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
subtle_exfil,lead,7,11,1.277,64.2,level_1_mild,0.48,0.59,0.18,0.23,0.0,0.0
subtle_exfil,lead,8,11,1.451,56.5,level_3_severe,0.3,0.27,0.3,0.43,0.0,0.0
subtle_exfil,lead,9,11,1.836,44.7,level_3_severe,0.49,0.1,0.21,0.6,0.09,0.0
subtle_exfil,lead,10,11,1.193,68.7,level_3_severe,0.59,0.04,0.11,0.67,0.18,0.0
subtle_exfil,lead,11,11,1.251,65.5,level_3_severe,0.61,0.04,0.11,0.68,0.17,0.0
subtle_exfil,tail,1,11,1.196,68.6,level_1_mild,0.95,0.95,0.03,0.01,0.01,0.0
subtle_exfil,tail,2,11,1.999,41.0,level_1_mild,0.45,0.56,0.28,0.12,0.04,0.0
subtle_exfil,tail,3,11,1.552,52.9,level_1_mild,0.41,0.53,0.28,0.12,0.07,0.0
subtle_exfil,tail,4,11,1.594,51.5,level_3_severe,0.69,0.01,0.05,0.76,0.18,0.0
subtle_exfil,tail,5,11,1.796,45.7,level_3_severe,0.63,0.01,0.04,0.71,0.24,0.0
subtle_exfil,tail,6,11,1.816,45.2,level_3_severe,0.55,0.06,0.12,0.64,0.18,0.0
subtle_exfil,tail,7,11,1.61,50.9,level_3_severe,0.61,0.06,0.13,0.69,0.12,0.0
subtle_exfil,tail,8,11,1.611,50.9,level_3_severe,0.56,0.06,0.18,0.65,0.11,0.0
subtle_exfil,tail,9,11,1.625,50.5,level_3_severe,0.57,0.05,0.13,0.65,0.17,0.0
subtle_exfil,tail,10,11,1.865,44.0,level_3_severe,0.61,0.04,0.13,0.7,0.13,0.0
subtle_exfil,tail,11,11,2.09,39.2,level_3_severe,0.57,0.05,0.14,0.65,0.16,0.0
slow_burn,lead,1,26,2.149,38.2,level_1_mild,0.98,0.98,0.02,0.0,0.0,0.0
slow_burn,lead,2,26,1.738,47.2,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,3,26,2.578,31.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,4,26,1.727,47.5,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,5,26,1.933,42.4,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,6,26,2.229,36.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,7,26,2.021,40.6,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,8,26,1.635,50.1,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,9,26,1.948,42.1,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,10,26,1.855,44.2,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,lead,11,26,1.789,45.8,level_1_mild,0.55,0.64,0.19,0.17,0.0,0.0
slow_burn,lead,12,26,1.74,47.1,level_1_mild,0.73,0.79,0.13,0.08,0.0,0.0
slow_burn,lead,13,26,1.918,42.8,level_1_mild,0.6,0.69,0.18,0.13,0.0,0.0
slow_burn,lead,14,26,1.673,49.0,level_1_mild,0.62,0.7,0.2,0.1,0.0,0.0
slow_burn,lead,15,26,1.745,47.0,level_1_mild,0.7,0.76,0.14,0.1,0.0,0.0
slow_burn,lead,16,26,1.95,42.1,level_1_mild,0.69,0.76,0.15,0.09,0.0,0.0
slow_burn,lead,17,26,1.932,42.5,level_3_severe,0.62,0.06,0.24,0.7,0.0,0.0
slow_burn,lead,18,26,1.721,47.7,level_3_severe,0.4,0.09,0.39,0.52,0.0,0.0
slow_burn,lead,19,26,1.667,49.2,level_3_severe,0.33,0.12,0.41,0.47,0.0,0.0
slow_burn,lead,20,26,1.773,46.8,level_2_moderate,0.29,0.14,0.43,0.43,0.0,0.0
slow_burn,lead,21,26,1.588,52.3,level_2_moderate,0.29,0.14,0.44,0.42,0.0,0.0
slow_burn,lead,22,26,1.64,50.0,level_3_severe,0.6,0.04,0.23,0.68,0.05,0.0
slow_burn,lead,23,26,1.858,44.7,level_4_critical,0.55,0.0,0.0,0.35,0.65,0.0
slow_burn,lead,24,26,1.685,49.2,level_4_critical,0.47,0.0,0.0,0.41,0.59,0.0
slow_burn,lead,25,26,2.035,40.8,level_4_critical,0.4,0.0,0.0,0.47,0.53,0.0
slow_burn,lead,26,26,2.363,35.1,level_4_critical,0.43,0.0,0.0,0.45,0.55,0.0
slow_burn,tail,1,26,1.55,52.9,level_1_mild,0.98,0.99,0.01,0.0,0.0,0.0
slow_burn,tail,2,26,3.037,27.0,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,tail,3,26,1.71,47.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
slow_burn,tail,4,26,1.55,53.5,level_4_critical,0.57,0.0,0.0,0.34,0.66,0.0
slow_burn,tail,5,26,1.766,47.0,level_4_critical,0.44,0.0,0.0,0.44,0.56,0.0
slow_burn,tail,6,26,1.612,50.9,level_3_severe,0.39,0.0,0.0,0.52,0.48,0.0
slow_burn,tail,7,26,1.737,47.2,level_3_severe,0.43,0.0,0.0,0.55,0.45,0.0
slow_burn,tail,8,26,1.632,50.9,level_4_critical,0.38,0.0,0.0,0.49,0.51,0.0
slow_burn,tail,9,26,1.541,53.2,level_3_severe,0.42,0.0,0.0,0.55,0.45,0.0
slow_burn,tail,10,26,1.591,52.2,level_4_critical,0.45,0.0,0.0,0.44,0.56,0.0
slow_burn,tail,11,26,1.781,46.6,level_4_critical,0.49,0.0,0.0,0.4,0.6,0.0
slow_burn,tail,12,26,1.548,53.6,level_4_critical,0.47,0.0,0.0,0.42,0.58,0.0
slow_burn,tail,13,26,1.511,54.9,level_4_critical,0.52,0.0,0.0,0.38,0.62,0.0
slow_burn,tail,14,26,1.668,49.8,level_4_critical,0.55,0.0,0.0,0.35,0.65,0.0
slow_burn,tail,15,26,1.654,50.2,level_4_critical,0.49,0.0,0.0,0.4,0.6,0.0
slow_burn,tail,16,26,1.65,50.3,level_4_critical,0.53,0.0,0.0,0.37,0.63,0.0
slow_burn,tail,17,26,1.652,50.2,level_4_critical,0.56,0.0,0.0,0.35,0.65,0.0
slow_burn,tail,18,26,1.657,50.1,level_4_critical,0.4,0.0,0.0,0.47,0.53,0.0
slow_burn,tail,19,26,1.781,46.6,level_4_critical,0.52,0.0,0.0,0.38,0.62,0.0
slow_burn,tail,20,26,2.084,39.8,level_4_critical,0.49,0.0,0.0,0.4,0.6,0.0
slow_burn,tail,21,26,2.167,38.3,level_4_critical,0.41,0.0,0.0,0.46,0.54,0.0
slow_burn,tail,22,26,2.072,40.1,level_4_critical,0.41,0.0,0.0,0.47,0.53,0.0
slow_burn,tail,23,26,2.332,35.6,level_4_critical,0.44,0.0,0.0,0.44,0.56,0.0
slow_burn,tail,24,26,23.642,3.5,level_4_critical,0.43,0.0,0.0,0.45,0.55,0.0
slow_burn,tail,25,26,1.689,49.1,level_4_critical,0.47,0.0,0.0,0.42,0.58,0.0
